2021-12-02 03:39:38 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2021-12-02 03:39:38 configure libsasl2-2:amd64 2.1.27+dfsg-2.1 <none>
2021-12-02 03:39:38 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1
2021-12-02 03:39:38 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1
2021-12-02 03:39:38 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1
2021-12-02 03:39:38 configure libssh2-1:amd64 1.9.0-2 <none>
2021-12-02 03:39:38 status unpacked libssh2-1:amd64 1.9.0-2
2021-12-02 03:39:38 status half-configured libssh2-1:amd64 1.9.0-2
2021-12-02 03:39:38 status installed libssh2-1:amd64 1.9.0-2
2021-12-02 03:39:38 configure netbase:all 6.3 <none>
2021-12-02 03:39:38 status unpacked netbase:all 6.3
2021-12-02 03:39:38 status half-configured netbase:all 6.3
2021-12-02 03:39:38 status installed netbase:all 6.3
2021-12-02 03:39:38 configure openssl:amd64 1.1.1k-1+deb11u1 <none>
2021-12-02 03:39:38 status unpacked openssl:amd64 1.1.1k-1+deb11u1
2021-12-02 03:39:38 status half-configured openssl:amd64 1.1.1k-1+deb11u1
2021-12-02 03:39:38 status installed openssl:amd64 1.1.1k-1+deb11u1
2021-12-02 03:39:38 configure libldap-2.4-2:amd64 2.4.57+dfsg-3 <none>
2021-12-02 03:39:38 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3
2021-12-02 03:39:38 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3
2021-12-02 03:39:38 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3
2021-12-02 03:39:38 configure ca-certificates:all 20210119 <none>
2021-12-02 03:39:38 status unpacked ca-certificates:all 20210119
2021-12-02 03:39:38 status half-configured ca-certificates:all 20210119
2021-12-02 03:39:40 status installed ca-certificates:all 20210119
2021-12-02 03:39:40 status triggers-pending ca-certificates:all 20210119
2021-12-02 03:39:40 configure libcurl4:amd64 7.74.0-1.3+b1 <none>
2021-12-02 03:39:40 status unpacked libcurl4:amd64 7.74.0-1.3+b1
2021-12-02 03:39:40 status half-configured libcurl4:amd64 7.74.0-1.3+b1
2021-12-02 03:39:40 status installed libcurl4:amd64 7.74.0-1.3+b1
2021-12-02 03:39:40 configure curl:amd64 7.74.0-1.3+b1 <none>
2021-12-02 03:39:40 status unpacked curl:amd64 7.74.0-1.3+b1
2021-12-02 03:39:40 status half-configured curl:amd64 7.74.0-1.3+b1
2021-12-02 03:39:40 status installed curl:amd64 7.74.0-1.3+b1
2021-12-02 03:39:40 trigproc libc-bin:amd64 2.31-13+deb11u2 <none>
2021-12-02 03:39:40 status half-configured libc-bin:amd64 2.31-13+deb11u2
2021-12-02 03:39:40 status installed libc-bin:amd64 2.31-13+deb11u2
2021-12-02 03:39:40 trigproc ca-certificates:all 20210119 <none>
2021-12-02 03:39:40 status half-configured ca-certificates:all 20210119
2021-12-02 03:39:41 status installed ca-certificates:all 20210119
2021-12-02 03:39:46 startup archives unpack
2021-12-02 03:39:46 install readline-common:all <none> 8.1-1
2021-12-02 03:39:46 status half-installed readline-common:all 8.1-1
2021-12-02 03:39:46 status unpacked readline-common:all 8.1-1
2021-12-02 03:39:46 install libreadline8:amd64 <none> 8.1-1
2021-12-02 03:39:46 status triggers-pending libc-bin:amd64 2.31-13+deb11u2
2021-12-02 03:39:46 status half-installed libreadline8:amd64 8.1-1
2021-12-02 03:39:46 status unpacked libreadline8:amd64 8.1-1
2021-12-02 03:39:46 install libassuan0:amd64 <none> 2.5.3-7.1
2021-12-02 03:39:46 status half-installed libassuan0:amd64 2.5.3-7.1
2021-12-02 03:39:46 status unpacked libassuan0:amd64 2.5.3-7.1
2021-12-02 03:39:46 install gpgconf:amd64 <none> 2.2.27-2
2021-12-02 03:39:46 status half-installed gpgconf:amd64 2.2.27-2
2021-12-02 03:39:46 status unpacked gpgconf:amd64 2.2.27-2
2021-12-02 03:39:47 install libksba8:amd64 <none> 1.5.0-3
2021-12-02 03:39:47 status half-installed libksba8:amd64 1.5.0-3
2021-12-02 03:39:47 status unpacked libksba8:amd64 1.5.0-3
2021-12-02 03:39:47 install libnpth0:amd64 <none> 1.6-3
2021-12-02 03:39:47 status half-installed libnpth0:amd64 1.6-3
2021-12-02 03:39:47 status unpacked libnpth0:amd64 1.6-3
2021-12-02 03:39:47 install dirmngr:amd64 <none> 2.2.27-2
2021-12-02 03:39:47 status half-installed dirmngr:amd64 2.2.27-2
2021-12-02 03:39:47 status unpacked dirmngr:amd64 2.2.27-2
2021-12-02 03:39:47 install gnupg-l10n:all <none> 2.2.27-2
2021-12-02 03:39:47 status half-installed gnupg-l10n:all 2.2.27-2
2021-12-02 03:39:47 status unpacked gnupg-l10n:all 2.2.27-2
